Id,Probability
1, 0.874689
2, 0.898802
3, 0.926888
4, 0.877958
5, 0.784158
6, 0.900993
7, 0.893795
8, 0.904506
9, 0.932433
10, 0.360884
11, 0.868852
12, 0.885489
13, 0.928487
14, 0.868055
15, 0.867767
16, 0.887641
17, 0.915958
18, 0.878924
19, 0.749846
20, 0.860648
21, 0.900384
22, 0.930438
23, 0.932084
24, 0.791406
25, 0.841490
26, 0.914209
27, 0.847524
28, 0.931025
29, 0.860549
30, 0.913829
31, 0.901920
32, 0.915159
33, 0.927736
34, 0.918973
35, 0.672924
36, 0.894391
37, 0.899680
38, 0.928954
39, 0.907646
40, 0.893163
41, 0.570391
42, 0.767905
43, 0.869074
44, 0.929907
45, 0.881991
46, 0.933380
47, 0.933483
48, 0.927962
49, 0.919749
50, 0.924438
51, 0.926663
52, 0.920562
53, 0.911545
54, 0.915219
55, 0.904702
56, 0.861079
57, 0.931816
58, 0.857893
59, 0.840631
60, 0.867388
61, 0.931799
62, 0.915397
63, 0.874840
64, 0.928898
65, 0.884184
66, 0.918284
67, 0.924670
68, 0.840509
69, 0.929834
70, 0.256407
71, 0.925797
72, 0.861688
73, 0.932749
74, 0.851475
75, 0.924099
76, 0.925477
77, 0.892219
78, 0.892404
79, 0.904413
80, 0.892785
81, 0.922656
82, 0.927022
83, 0.881126
84, 0.933640
85, 0.926926
86, 0.924464
87, 0.884599
88, 0.922435
89, 0.907308
90, 0.893657
91, 0.834531
92, 0.912257
93, 0.929162
94, 0.925929
95, 0.931471
96, 0.573341
97, 0.914288
98, 0.888599
99, 0.925284
100, 0.910892
101, 0.904332
102, 0.810750
103, 0.930285
104, 0.876884
105, 0.821392
106, 0.892931
107, 0.685882
108, 0.894098
109, 0.929708
110, 0.923461
111, 0.928371
112, 0.902625
113, 0.879950
114, 0.703376
115, 0.878609
116, 0.918198
117, 0.931148
118, 0.889818
119, 0.922057
120, 0.929263
121, 0.904164
122, 0.919556
123, 0.922223
124, 0.644887
125, 0.924651
126, 0.929974
127, 0.934740
128, 0.911714
129, 0.917906
130, 0.848515
131, 0.926463
132, 0.874957
133, 0.930353
134, 0.865597
135, 0.849258
136, 0.933344
137, 0.846128
138, 0.909853
139, 0.930180
140, 0.917535
141, 0.933233
142, 0.928275
143, 0.933245
144, 0.878975
145, 0.777251
146, 0.900772
147, 0.933122
148, 0.857257
149, 0.928913
150, 0.898152
151, 0.931077
152, 0.911681
153, 0.930912
154, 0.928090
155, 0.925831
156, 0.921780
157, 0.917930
158, 0.930438
159, 0.823566
160, 0.921660
161, 0.931516
162, 0.927494
163, 0.922117
164, 0.877753
165, 0.913807
166, 0.921785
167, 0.725177
168, 0.902992
169, 0.724752
170, 0.928259
171, 0.933395
172, 0.930656
173, 0.893947
174, 0.871966
175, 0.924668
176, 0.745176
177, 0.925483
178, 0.893945
179, 0.930484
180, 0.930882
181, 0.909478
182, 0.925252
183, 0.911318
184, 0.931282
185, 0.847101
186, 0.929410
187, 0.926865
188, 0.920300
189, 0.907789
190, 0.921971
191, 0.912969
192, 0.906746
193, 0.915732
194, 0.909381
195, 0.906842
196, 0.920543
197, 0.932031
198, 0.930406
199, 0.926755
200, 0.932460
201, 0.885882
202, 0.905290
203, 0.658848
204, 0.914197
205, 0.905795
206, 0.930834
207, 0.922332
208, 0.931734
209, 0.868824
210, 0.933925
211, 0.870781
